age,pre
-0.0,0.01628
100.0,0.016431
200.0,0.016568
300.0,0.01669
400.0,0.016798
500.0,0.016891
600.0,0.016968
700.0,0.017029
800.0,0.017075
900.0,0.017104
1000.0,0.017116
1100.0,0.017109
1200.0,0.017085
1300.0,0.017045
1400.0,0.016988
1500.0,0.016914
1600.0,0.016824
1700.0,0.016718
1800.0,0.016597
1900.0,0.01646
2000.0,0.016308
2100.0,0.016142
2200.0,0.015961
2300.0,0.015766
2400.0,0.015556
2500.0,0.015333
2600.0,0.015096
2700.0,0.014846
2800.0,0.014583
2900.0,0.014307
3000.0,0.014018
3100.0,0.013718
3200.0,0.013406
3300.0,0.013081
3400.0,0.012744
3500.0,0.012394
3600.0,0.012031
3700.0,0.011656
3800.0,0.011267
3900.0,0.010867
4000.0,0.010453
4100.0,0.010024
4200.0,0.009583
4300.0,0.009131
4400.0,0.008669
4500.0,0.008197
4600.0,0.007717
4700.0,0.007229
4800.0,0.006734
4900.0,0.006233
5000.0,0.005727
5100.0,0.005218
5200.0,0.004704
5300.0,0.004186
5400.0,0.003663
5500.0,0.003137
5600.0,0.002608
5700.0,0.002075
5800.0,0.001539
5900.0,0.001001
6000.0,0.000461
6100.0,-8.1e-05
6200.0,-0.000624
6300.0,-0.001167
6400.0,-0.00171
6500.0,-0.002253
6600.0,-0.002795
6700.0,-0.003337
6800.0,-0.003877
6900.0,-0.004415
7000.0,-0.004952
7100.0,-0.005488
7200.0,-0.006021
7300.0,-0.006551
7400.0,-0.007078
7500.0,-0.0076
7600.0,-0.008117
7700.0,-0.008629
7800.0,-0.009134
7900.0,-0.009632
8000.0,-0.010122
8100.0,-0.010603
8200.0,-0.011074
8300.0,-0.011536
8400.0,-0.011987
8500.0,-0.012427
8600.0,-0.012856
8700.0,-0.013273
8800.0,-0.013679
8900.0,-0.014072
9000.0,-0.014453
9100.0,-0.014819
9200.0,-0.015173
9300.0,-0.015515
9400.0,-0.015844
9500.0,-0.016161
9600.0,-0.016466
9700.0,-0.016759
9800.0,-0.017041
9900.0,-0.01731
