age,temperature
100.0,-0.516078643098539
200.0,0.19642820154964058
300.0,0.11577746742338912
400.0,-0.3327811889250816
500.0,-1.6886539306104553
600.0,-0.8399658168582831
700.0,-0.4967795150645907
800.0,0.07346503953945772
900.0,0.39581667766820505
1000.0,-0.42737295890129023
1100.0,0.33499941893452223
1200.0,0.8967891557219619
1300.0,1.052447273339507
1400.0,-0.026648009870324424
1500.0,-0.40229634635719036
1600.0,-0.7967970878372992
1700.0,-0.6490013771898916
1800.0,-0.16733625684083497
1900.0,0.5932396423657988
2000.0,-0.9316806025223452
2100.0,-0.41388242021660615
2200.0,-0.4625060664489303
2300.0,-1.249937521155843
2400.0,-1.7259596889301514
2500.0,0.14813821035659835
2600.0,-0.08154910693908135
2700.0,-0.3262574871150131
2800.0,0.08586069505680638
2900.0,-0.8771473613818105
3000.0,-0.018054154198147414
3100.0,0.7697470125852129
3200.0,0.015135118797169778
3300.0,-0.9473457458825408
3400.0,-0.20757132495164315
3500.0,-0.8009565441547564
3600.0,-0.5304318519788176
3700.0,-0.017834631148545332
3800.0,0.1956277901206369
3900.0,-0.09940948992000143
4000.0,-0.5608863110717591
4100.0,0.873444360434868
4200.0,-0.2593207651930066
4300.0,0.1957706010413498
4400.0,-0.20852736389197543
4500.0,0.6156156236026197
4600.0,0.1453236287818827
4700.0,-0.3679963102853504
4800.0,-0.365256335719348
4900.0,-0.1302702140937756
5000.0,-0.6164757195076266
5100.0,-0.22514421873415533
5200.0,0.005408828462624304
5300.0,0.35316389784280156
5400.0,-0.9411006755003541
5500.0,-1.5065301460686278
5600.0,-0.22127983943710727
5700.0,-0.7254712023176844
5800.0,0.9479030161418583
5900.0,-0.29996008958947823
6000.0,0.03812832065613447
6100.0,0.3446782578221794
6200.0,-0.6561059057612383
6300.0,-0.04939658707798983
6400.0,-1.0222548981436848
6500.0,-1.5207317593674148
6600.0,-1.4155260289604847
6700.0,0.5085250566087279
6800.0,-1.1794204082330062
6900.0,0.4947698411050671
7000.0,-0.6574939748987599
7100.0,-1.038792000134218
7200.0,-1.0337644109863633
7300.0,0.14715111745957854
7400.0,-1.7877932916428763
7500.0,-0.8572514662579185
7600.0,0.33490737541862853
7700.0,-0.20602642121716636
7800.0,-1.6517252607594721
7900.0,-0.008316979421546689
8000.0,-1.4783140034494202
8100.0,-0.7412423003037947
8200.0,-1.86822297975062
8300.0,-1.4115164346087448
8400.0,-1.84237971349128
8500.0,-1.9829536803544467
8600.0,-0.6924858123857885
8700.0,-1.5715565219125882
8800.0,-1.8216102399075167
8900.0,-0.86
9000.0,-0.9963891342462825
9100.0,-0.49
9200.0,-0.4123032914953615
9300.0,-0.09367725462250953
9400.0,-0.13909501595357304
9500.0,-0.6326912135784644
9600.0,-0.32618713114583753
9700.0,-0.0003937878173443446
9800.0,-1.1268245489988051
9900.0,0.0653368541781546
10000.0,-0.41130740763143314
10100.0,-0.027900285918496914
10200.0,-0.04851862044176097
10300.0,-0.0799135170126786
10400.0,-0.6263815341763379
10500.0,0.2748634186149177
10600.0,-0.8684403435666365
10700.0,-0.8070230537921828
10800.0,-0.23849042344151344
10900.0,-0.15164855380867073
11000.0,-0.21743516046965744
11100.0,-0.588747110712777
11200.0,0.3720481124573064
11300.0,-0.878045496899414
11400.0,-1.2330329498687218
11500.0,0.24029844986555376
11600.0,-0.8023218239973932
11700.0,-1.01027818608632
11800.0,-2.4349558049366475
11900.0,-1.9067859069690998
12000.0,-1.9805797804078136
12100.0,-4.057676971057427
12200.0,-2.8600545233662924
12300.0,-4.246501251471477
12400.0,-3.2838764641586478
12500.0,-3.894324076759846
12600.0,-4.961375243678178
12700.0,-4.34263603457411
12800.0,-4.739435632183909
12900.0,-4.497537696503052
13000.0,-3.9955947681982336
13100.0,-4.95227989077703
13200.0,-4.042014259906226
13300.0,-4.116166265183758
13400.0,-4.727860454479302
