age,obl
-0.0,0.409093
100.0,0.40932
200.0,0.409547
300.0,0.409773
400.0,0.41
500.0,0.410226
600.0,0.410453
700.0,0.410678
800.0,0.410904
900.0,0.411129
1000.0,0.411353
1100.0,0.411577
1200.0,0.4118
1300.0,0.412022
1400.0,0.412244
1500.0,0.412465
1600.0,0.412685
1700.0,0.412904
1800.0,0.413122
1900.0,0.413339
2000.0,0.413555
2100.0,0.413769
2200.0,0.413983
2300.0,0.414195
2400.0,0.414406
2500.0,0.414615
2600.0,0.414823
2700.0,0.415029
2800.0,0.415234
2900.0,0.415437
3000.0,0.415639
3100.0,0.415839
3200.0,0.416037
3300.0,0.416234
3400.0,0.416429
3500.0,0.416621
3600.0,0.416812
3700.0,0.417001
3800.0,0.417188
3900.0,0.417372
4000.0,0.417555
4100.0,0.417735
4200.0,0.417913
4300.0,0.418088
4400.0,0.418262
4500.0,0.418432
4600.0,0.418601
4700.0,0.418766
4800.0,0.418929
4900.0,0.41909
5000.0,0.419247
5100.0,0.419402
5200.0,0.419554
5300.0,0.419704
5400.0,0.41985
5500.0,0.419994
5600.0,0.420134
5700.0,0.420272
5800.0,0.420407
5900.0,0.420538
6000.0,0.420667
6100.0,0.420793
6200.0,0.420915
6300.0,0.421034
6400.0,0.42115
6500.0,0.421263
6600.0,0.421373
6700.0,0.421479
6800.0,0.421582
6900.0,0.421681
7000.0,0.421777
7100.0,0.421869
7200.0,0.421958
7300.0,0.422043
7400.0,0.422125
7500.0,0.422203
7600.0,0.422277
7700.0,0.422347
7800.0,0.422414
7900.0,0.422477
8000.0,0.422536
8100.0,0.422592
8200.0,0.422644
8300.0,0.422691
8400.0,0.422735
8500.0,0.422776
8600.0,0.422812
8700.0,0.422844
8800.0,0.422873
8900.0,0.422897
9000.0,0.422918
9100.0,0.422935
9200.0,0.422948
9300.0,0.422957
9400.0,0.422961
9500.0,0.422962
9600.0,0.422959
9700.0,0.422952
9800.0,0.422941
9900.0,0.422925
10000.0,0.422906
10100.0,0.422882
10200.0,0.422855
10300.0,0.422823
10400.0,0.422787
10500.0,0.422747
10600.0,0.422703
10700.0,0.422655
10800.0,0.422603
10900.0,0.422547
11000.0,0.422486
11100.0,0.422421
11200.0,0.422353
11300.0,0.42228
11400.0,0.422203
11500.0,0.422122
11600.0,0.422037
11700.0,0.421948
11800.0,0.421855
11900.0,0.421759
12000.0,0.421658
12100.0,0.421553
12200.0,0.421445
12300.0,0.421332
12400.0,0.421216
12500.0,0.421096
12600.0,0.420971
12700.0,0.420843
12800.0,0.420712
12900.0,0.420576
13000.0,0.420436
13100.0,0.420293
13200.0,0.420146
13300.0,0.419994
13400.0,0.41984
13500.0,0.419681
13600.0,0.419519
13700.0,0.419353
13800.0,0.419184
13900.0,0.419011
14000.0,0.418835
14100.0,0.418655
14200.0,0.418471
14300.0,0.418285
14400.0,0.418095
14500.0,0.417901
14600.0,0.417705
14700.0,0.417505
14800.0,0.417302
14900.0,0.417096
15000.0,0.416887
15100.0,0.416675
15200.0,0.416459
15300.0,0.416241
15400.0,0.41602
15500.0,0.415796
15600.0,0.415569
15700.0,0.415339
15800.0,0.415107
15900.0,0.414872
16000.0,0.414634
16100.000000000002,0.414394
16200.0,0.414151
16300.0,0.413906
16400.0,0.413658
16500.0,0.413408
16600.0,0.413155
16700.0,0.4129
16800.0,0.412643
16900.0,0.412384
17000.0,0.412123
17100.0,0.41186
17200.0,0.411595
17300.0,0.411328
17400.0,0.411059
17500.0,0.410789
17600.0,0.410516
17700.0,0.410243
17800.0,0.409968
17900.0,0.409691
18000.0,0.409413
18100.0,0.409134
18200.0,0.408854
18300.0,0.408573
18400.0,0.408291
18500.0,0.408007
18600.0,0.407723
18700.0,0.407437
18800.0,0.407151
18900.0,0.406864
19000.0,0.406577
19100.0,0.406288
19200.0,0.405999
19300.0,0.40571
19400.0,0.40542
19500.0,0.40513
19600.0,0.40484
19700.0,0.404549
19800.0,0.404258
19900.0,0.403968
20000.0,0.403677
20100.0,0.403387
20200.0,0.403097
20300.0,0.402808
20400.0,0.402519
20500.0,0.40223
20600.0,0.401943
20700.0,0.401656
20800.0,0.401369
20900.0,0.401084
21000.0,0.4008
21100.0,0.400517
21200.0,0.400234
21300.0,0.399953
21400.0,0.399674
21500.0,0.399396
21600.0,0.399119
21700.0,0.398843
21800.0,0.398569
21900.0,0.398297
22000.0,0.398027
22100.0,0.397758
22200.0,0.397491
22300.0,0.397226
22400.0,0.396963
22500.0,0.396702
22600.0,0.396444
22700.0,0.396187
22800.0,0.395933
22900.0,0.395682
23000.0,0.395433
23100.0,0.395186
23200.0,0.394943
23300.0,0.394702
23400.0,0.394464
23500.0,0.394229
23600.0,0.393997
23700.0,0.393768
23800.0,0.393542
23900.0,0.39332
24000.0,0.393101
24100.0,0.392885
24200.0,0.392673
24300.0,0.392465
24400.0,0.39226
24500.0,0.392058
24600.0,0.391861
24700.0,0.391667
24800.0,0.391477
24900.0,0.391291
25000.0,0.391108
25100.0,0.39093
25200.0,0.390755
25300.0,0.390585
25400.0,0.390418
25500.0,0.390256
25600.0,0.390098
25700.0,0.389944
25800.0,0.389795
25900.0,0.38965
26000.0,0.38951
26100.0,0.389375
26200.0,0.389244
26300.0,0.389117
26400.0,0.388996
26500.0,0.388879
26600.0,0.388767
26700.0,0.38866
26800.0,0.388558
26900.0,0.38846
27000.0,0.388368
27100.0,0.388281
27200.0,0.388198
27300.0,0.388121
27400.0,0.388048
27500.0,0.387981
27600.0,0.387919
27700.0,0.387862
27800.0,0.38781
27900.0,0.387763
28000.0,0.387721
28100.0,0.387685
28200.0,0.387653
28300.0,0.387627
28400.0,0.387606
28500.0,0.38759
28600.0,0.387579
28700.0,0.387574
28800.0,0.387573
28900.0,0.387579
29000.0,0.387589
29100.0,0.387605
29200.0,0.387626
29300.0,0.387652
29400.0,0.387684
29500.0,0.387721
29600.0,0.387763
29700.0,0.387811
29800.0,0.387864
29900.0,0.387922
30000.0,0.387985
30100.0,0.388053
30200.0,0.388127
30300.0,0.388206
30400.0,0.38829
30500.0,0.388379
30600.0,0.388473
30700.0,0.388572
30800.0,0.388676
30900.0,0.388785
31000.0,0.388898
31100.0,0.389017
31200.0,0.38914
31300.0,0.389268
31400.0,0.389401
31500.0,0.389539
31600.0,0.389681
31700.0,0.389828
31800.0,0.38998
31900.0,0.390136
32000.0,0.390297
32100.0,0.390463
32200.000000000004,0.390633
32299.999999999996,0.390807
32400.0,0.390986
32500.0,0.391169
32600.0,0.391357
32700.000000000004,0.391548
32800.0,0.391744
32900.0,0.391944
33000.0,0.392148
33100.0,0.392356
33200.0,0.392567
33300.0,0.392783
33400.0,0.393002
33500.0,0.393225
33600.0,0.393451
33700.0,0.393681
33800.0,0.393914
33900.0,0.394151
34000.0,0.394391
34100.0,0.394634
34200.0,0.39488
34300.0,0.395129
34400.0,0.395382
34500.0,0.395637
34600.0,0.395895
34700.0,0.396156
34800.0,0.39642
34900.0,0.396686
35000.0,0.396955
35100.0,0.397227
35200.0,0.397501
35300.0,0.397778
35400.0,0.398057
35500.0,0.398338
35600.0,0.398622
35700.0,0.398907
35800.0,0.399195
35900.0,0.399484
36000.0,0.399776
36100.0,0.400069
36200.0,0.400363
36300.0,0.400659
36400.0,0.400957
36500.0,0.401256
36600.0,0.401556
36700.0,0.401858
36800.0,0.40216
36900.0,0.402464
37000.0,0.402768
37100.0,0.403074
37200.0,0.40338
37300.0,0.403687
37400.0,0.403994
37500.0,0.404302
37600.0,0.404611
37700.0,0.40492
37800.0,0.40523
37900.0,0.405539
38000.0,0.405849
38100.0,0.406159
38200.0,0.406469
38300.0,0.406779
38400.0,0.407089
38500.0,0.407399
38600.0,0.407709
38700.0,0.408018
38800.0,0.408327
38900.0,0.408635
39000.0,0.408943
39100.0,0.40925
39200.0,0.409556
39300.0,0.409862
39400.0,0.410166
39500.0,0.41047
39600.0,0.410773
39700.0,0.411074
39800.0,0.411374
39900.0,0.411673
40000.0,0.41197
40100.0,0.412266
40200.0,0.41256
40300.0,0.412853
40400.0,0.413144
40500.0,0.413433
40600.0,0.413721
40700.0,0.414007
40800.0,0.414291
40900.0,0.414573
41000.0,0.414853
41100.0,0.415131
41200.0,0.415407
41300.0,0.415681
41400.0,0.415953
41500.0,0.416222
41600.0,0.416489
41700.0,0.416753
41800.0,0.417016
41900.0,0.417275
42000.0,0.417532
42100.0,0.417786
42200.0,0.418037
42300.0,0.418285
42400.0,0.418531
42500.0,0.418773
42600.0,0.419013
42700.0,0.419249
42800.0,0.419483
42900.0,0.419713
43000.0,0.41994
43100.0,0.420164
43200.0,0.420384
43300.0,0.420601
43400.0,0.420815
43500.0,0.421026
43600.0,0.421233
43700.0,0.421436
43800.0,0.421636
43900.0,0.421833
44000.0,0.422025
44100.0,0.422215
44200.0,0.4224
44300.0,0.422582
44400.0,0.422761
44500.0,0.422935
44600.0,0.423106
44700.0,0.423272
44800.0,0.423435
44900.0,0.423594
45000.0,0.423749
45100.0,0.4239
45200.0,0.424047
45300.0,0.42419
45400.0,0.424328
45500.0,0.424463
45600.0,0.424593
45700.0,0.42472
45800.0,0.424842
45900.0,0.424959
46000.0,0.425073
46100.0,0.425182
46200.0,0.425287
46300.0,0.425388
46400.0,0.425484
46500.0,0.425576
46600.0,0.425664
46700.0,0.425747
46800.0,0.425827
46900.0,0.425901
47000.0,0.425972
47100.0,0.426038
47200.0,0.4261
47300.0,0.426158
47400.0,0.426212
47500.0,0.426261
47600.0,0.426305
47700.0,0.426345
47800.0,0.426381
47900.0,0.426413
