age,d18o
100,-34.53
200,-35.16
300,-35.36
400,-35.35
500,-34.93
600,-35.05
700,-35.07
800,-35.15
900,-35.59
1000,-34.96
1100,-35.41
1200,-35.34
1300,-35.33
1400,-35.26
1500,-35.33
1600,-34.46
1700,-35.27
1800,-35.44
1900,-34.49
2000,-35.32
2100,-34.89
2200,-35.76
2300,-34.81
2400,-35.08
2500,-35.48
2600,-35.43
2700,-35.43
2800,-34.91
2900,-35.2
3000,-34.85
3100,-35.14
3200,-34.54
3300,-35.25
3400,-35.42
3500,-35.28
3600,-34.63
3700,-34.71
3800,-35.27
3900,-34.9
4000,-34.96
4100,-35.53
4200,-34.76
4300,-34.92
4400,-35.47
4500,-35.15
4600,-34.57
4700,-35.02
4800,-34.82
4900,-34.79
5000,-34.92
5100,-34.84
5200,-33.85
5300,-35.27
5400,-34.78
5500,-34.47
5600,-35.06
5700,-35.18
5800,-34.55
5900,-33.95
6000,-34.85
6100,-34.27
6200,-34.89
6300,-34.38
6400,-34.99
6500,-34.32
6600,-34.98
6700,-34.74
6800,-35.12
6900,-34.56
7000,-34.73
7100,-34.4
7200,-34.74
7300,-34.84
7400,-34.31
7500,-33.88
7600,-34.52
7700,-34.01
7800,-34.35
7900,-34.62
8000,-33.6
8100,-34.51
8200,-35.54
8300,-35.68
8400,-34.41
8500,-34.7
8600,-34.35
8700,-35.21
8800,-34.22
8900,-34.57
9000,-34.47
9100,-34.73
9200,-34.7
9300,-36.05
9400,-34.87
9500,-34.92
9600,-35.13
9700,-34.84
9800,-34.49
9900,-35.06
10000,-35.1
10100,-35.32
10200,-34.89
10300,-36.01
10400,-36.36
10500,-36.34
10600,-35.89
10700,-35.77
10800,-36.83
10900,-37.6
11000,-36.53
11100,-37.11
11200,-37.25
11300,-36.58
11400,-37.63
11500,-37.41
11600,-36.78
11700,-39.04
11800,-39.87
11900,-41.52
12000,-40.54
12100,-40.74
12200,-38.91
12300,-41.01
12400,-40.73
12500,-41.91
12600,-41.43
12700,-42.27
12800,-40.17
12900,-40.11
13000,-38.96
13100,-39.77
13200,-40.53
13300,-38.97
13400,-38.36
13500,-38.33
13600,-39.36
13700,-38.67
13800,-38.81
13900,-38.43
14000,-39.03
14100,-38.05
14200,-37.59
14300,-37.13
14400,-36.07
14500,-36.26
14600,-35.81
14700,-40.64
14800,-39.92
14900,-40.14
15000,-42.61
15100,-43.51
15200,-42.08
15300,-41.99
15400,-40.04
15500,-41.95
15600,-42.31
15700,-43.5
15800,-43.85
15900,-43.15
16000,-41.94
16100,-44.97
16200,-41.64
16300,-40.71
16400,-42.81
16500,-41.18
16600,-40.58
16700,-40.65
16800,-40.92
16900,-40.3
17000,-42.12
17100,-38.99
17200,-40.56
17300,-39.8
17400,-41.25
17500,-40.72
17600,-41.85
17700,-40.7
17800,-40.9
17900,-41.14
18000,-42.27
18100,-42.9
18200,-40.98
18300,-42.17
18400,-42.35
18500,-40.04
18600,-42.85
18700,-41.7
18800,-41.46
18900,-40.26
19000,-41.29
19100,-42.03
19200,-43.74
19300,-42.72
19400,-42.86
19500,-42.17
19600,-40.46
19700,-41.5
19800,-42.8
19900,-41.43
20000,-42.66
20100,-41.33
20200,-42.79
20300,-41.92
20400,-44.51
20500,-41.92
20600,-42.06
20700,-43.6
20800,-42.98
20900,-43.27
21000,-44.85
21100,-43.31
21200,-43.89
21300,-41.02
21400,-42.52
21500,-44.58
21600,-41.02
21700,-41.6
21800,-43.51
21900,-41.36
22000,-42.6
22100,-40.99
22200,-41.51
22300,-42.41
22400,-42.38
22500,-42.0
22600,-42.34
22700,-43.31
22800,-42.56
22900,-42.37
23000,-41.83
23100,-43.6
23200,-41.48
23300,-39.11
23400,-42.83
23500,-42.04
23600,-41.8
23700,-44.55
23800,-43.95
23900,-43.11
24000,-40.99
24100,-44.24
24200,-42.27
24300,-43.86
24400,-43.88
24500,-43.01
24600,-42.02
24700,-44.79
24800,-43.24
24900,-44.93
25000,-42.66
25100,-44.35
25200,-43.11
25300,-43.91
25400,-43.45
25500,-44.09
25600,-43.6
25700,-46.11
25800,-43.46
