,AMOC,TEMP,NAO,PRECIP,SEA_ICE
152,-0.1359787,267.2100862535539,-0.31262672,-2.0837064312162343e-10,1.7355535
153,-0.5405998,267.6508440753475,0.46891773,2.504363720791693e-10,1.5928061
154,-0.6601429,268.1540070745437,-0.036884785,8.805000614203765e-11,1.4716942
155,0.84532547,268.2436361087826,0.10372734,-1.1735023745198804e-10,1.3993514
156,0.2872162,267.6572946314922,-0.15296578,-3.5519042343056254e-10,1.574456
157,-0.35040474,266.2485094696778,-0.6092894,3.6343697599838674e-10,1.8867298
158,0.502758,267.01684836742953,0.27755177,5.884696267025044e-11,1.7347013
159,-0.7627735,265.69803004816964,-0.33371782,-4.801831775497793e-10,2.034107
160,-2.1116314,267.6426774198931,0.59790945,4.300979850218529e-10,1.6138597
161,2.683323,266.7338161392244,-0.34941792,8.673981321853726e-12,1.8198918
162,-0.13085747,264.13811849324367,-0.6039586,-2.383539779816984e-10,2.3206775
163,-1.2719955,262.98436588391223,-0.18806899,-9.046312642697982e-10,2.62237
164,-1.4638395,261.25296631581836,-0.47356334,-8.327942108975144e-10,2.9805834
165,0.95332146,261.21944434822484,-0.07451913,-2.9748383354585444e-10,2.9921458
166,0.34270382,260.2917109820349,-0.14823002,-1.7937501530320024e-10,3.1542723
167,0.86330795,260.5503264273225,-0.1261375,1.497219766949427e-10,3.1335132
168,-0.6197939,259.91308610317293,-0.12710714,-1.5198879107798694e-10,3.2329288
169,-0.03394699,259.96241653772097,0.027480721,-3.293395791620679e-11,3.2910204
170,0.91257,259.27059314415135,-0.22379053,-4.790309522602343e-10,3.378021
171,-0.565464,258.56817337421796,0.26749635,-1.2196376722808425e-09,3.575882
172,0.31540775,259.6291817246575,-0.05301571,1.3164228477164124e-09,3.3503644
173,0.22005463,258.1192678902706,-0.42010367,-1.2376252420719616e-09,3.5979228
174,-0.26712513,258.20806558759887,0.2047311,1.562887359955511e-10,3.6368594
175,0.41568375,257.94577871621505,0.082163274,-1.8058923153307605e-10,3.62493
176,0.015508652,257.79678229682975,-0.06004733,-1.4519151723846925e-10,3.6664577
177,-0.7915392,257.36179958245043,-0.07519853,-6.536739914142978e-10,3.788008
178,1.1416559,258.08156926927074,-0.26718742,1.2522258040327266e-09,3.6548781
179,-0.6287527,257.2777727364405,-0.1555115,-5.385857471168704e-10,3.813417
180,0.101465225,258.0054399048832,0.26535636,-1.0510474866287851e-10,3.6546261
181,0.032176018,257.96193768972233,0.14406592,4.452083461360717e-10,3.680956
182,-0.21093464,257.80087923678656,0.013976812,-4.89802094486634e-10,3.687546
183,1.3876514,258.5728696144715,-0.106378615,1.588438850469616e-09,3.553304
184,-2.007718,257.3639090529475,-0.25918645,-1.1728714338597437e-09,3.771967
185,1.0372267,257.9872270662603,0.3691041,3.2604742675096903e-10,3.6524754
186,0.18418789,257.5028298566083,-0.169545,-1.2426040133179481e-09,3.7397027
187,-0.6075764,257.58382645844443,-0.1318264,1.7303227419749906e-09,3.7117183
188,0.72308254,258.17368728322356,0.23620391,-5.167602110427919e-10,3.5976758
189,-0.85573673,258.4110428600644,0.09520006,-2.2302512955935326e-10,3.5612252
190,2.3965197,258.7873109858283,-0.22597307,1.6072335198172944e-09,3.4630518
191,-2.9567728,258.3468426504471,0.29320467,-1.5981647669139816e-09,3.6052127
192,0.24948978,258.447820096506,-0.07566273,-1.0199322071928715e-12,3.5465798
193,2.267191,258.39847892551904,0.025553524,7.92786331699843e-10,3.5144818
194,-1.9004612,258.2910947491227,0.09276909,-8.617115073079922e-10,3.5885563
195,0.069257736,258.3345946839826,-0.099702,5.459406790693656e-10,3.532115
